Time (s), Thrust(lbf), Chamber Pressure(psi), Mass Flow(lbm/s), Mass Ejected (lbm), Mass Flux (lbm/s/ft^2), Burn Area (in^2), Kn, Regression Rate (ft/s), Regression (in), Exit Pressure (psi), Force Coefficient, Free Volume (in^3), Volume Loading
2.770999999999806,92.77046175656403,5.076281692678491E-4,0.40096184989268047,4.0096184989268046E-4,1.2507920059266477,390555.8980864807,353.6150854209872,0.014971046387599852,433.93966287141006,1.9049190073649774E-6,1.65466949065048,1.9845588142887154E8,2.518243156500888,
2.7719999999998057,92.77988182934101,5.076797147081499E-4,0.40100258829789104,4.0100258829789105E-4,1.250618075683962,390576.123020471,353.63339737529554,0.014971792157215164,434.1193243715475,1.9051124361282262E-6,1.65466949065048,1.984628985780895E8,2.5147963247472704,
2.7729999999998056,92.78929150238685,5.077312032424443E-4,0.4010432817605054,4.010432817605054E-4,1.2504440740305953,390596.3246216889,353.65168820376675,0.014972537066117429,434.2989948105914,1.9053056513467205E-6,1.65466949065048,1.9846991643940288E8,2.511349143211583,
2.7739999999998055,92.79869077184796,5.077826348496462E-4,0.4010839302638596,4.010839302638596E-4,1.2502700009896694,390616.50288534205,353.6699579020617,0.014973281114135277,434.4786741782113,1.9054986529413312E-6,1.65466949065048,1.9847693501202488E8,2.507901612280261,
2.7749999999998054,92.80807963387473,5.078340095086908E-4,0.40112453379130614,4.011245337913062E-4,1.2500958565843334,390636.65780664363,353.68820646584635,0.014974024301097512,434.65836246407446,1.9056914408330125E-6,1.65466949065048,1.9848395429516858E8,2.504453732339895,
2.7759999999998053,92.8174580846213,5.078853271985341E-4,0.40116509232621395,4.01165092326214E-4,1.2499216408377651,390656.78938081145,353.7064338907909,0.014974766626833122,434.8380596578461,1.905884014942794E-6,1.65466949065048,1.984909742880465E8,2.5010055037772427,
2.776999999999805,92.82682612024576,5.079365878981538E-4,0.401205605851969,4.0120560585196904E-4,1.249747353773171,390676.8976030689,353.72464017257045,0.014975508091171284,435.01776574918955,1.9060763751917865E-6,1.65466949065048,1.984979949898711E8,2.4975569269791387,
2.777999999999805,92.83618373691007,5.079877915865485E-4,0.4012460743519736,4.0124607435197365E-4,1.2495729954137857,390696.9824686445,353.7428253068649,0.014976248693941365,435.197480727766,1.906268521501183E-6,1.65466949065048,1.9850501639985457E8,2.494108002332651,
2.778999999999805,92.84553093077997,5.080389382427377E-4,0.4012864978096472,4.0128649780964723E-4,1.2493985657828743,390717.04397277196,353.76098928935875,0.014976988434972919,435.37720458323446,1.9064604537922501E-6,1.65466949065048,1.9851203851720858E8,2.490658730224904,
2.779999999999805,92.8548676980251,5.08090027845762E-4,0.4013268762084257,4.0132687620842567E-4,1.249224064903728,390737.08211069036,353.77913211574133,0.014977727314095681,435.5569373052522,1.9066521719863376E-6,1.65466949065048,1.9851906134114465E8,2.4872091110432204,
