Time (s), Thrust(N), Chamber Pressure(MPa), Mass Flow(kg/s), Mass Ejected (kg), Mass Flux (kg/s/m^2), Burn Area (cm^2), Kn, Regression Rate (m/s), Regression (mm), Exit Pressure (MPa), Force Coefficient, Free Volume (cm^3), Volume Loading
1.1199999999999875,1167.3828506213952,10.5329669233153,0.5470823432042766,5.470823432042766E-4,23.895800741146704,441.9553739846159,620.2382834677975,0.007825691224005792,6.637589597115392,0.18149513470567283,1.55540230640485,6243.767413901739,6.398849733226831,
1.1209999999999873,1168.612809997703,10.544064500618903,0.5476587573630306,5.476587573630306E-4,23.90813427806714,442.19279217594556,620.5714751430716,0.007829730362626202,6.6454193274780184,0.18168635872662417,1.55540230640485,6244.113638934842,6.39365942756659,
1.1219999999999872,1169.8440393264011,10.555173536345519,0.5482357666846083,5.482357666846083E-4,23.920473920907263,442.4303329053055,620.9048387876937,0.007833771500888416,6.653253098978907,0.18187778018938308,1.55540230640485,6244.460228748147,6.388463653437693,
1.1229999999999871,1171.0765398919546,10.566294042084516,0.54881337177098,5.4881337177098E-4,23.932819672561237,442.667996233359,621.2383744867988,0.007837814639740252,6.661090913618647,0.1820693992936477,1.55540230640485,6244.807183718289,6.383262405193923,
1.123999999999987,1172.310312980102,10.577426029436753,0.5493915732247125,5.493915732247126E-4,23.94517153592455,442.905782220798,621.5720823255613,0.007841859780129959,6.668932773398777,0.18226121623931413,1.55540230640485,6245.154504222287,6.378055677183337,
1.124999999999987,1173.5453598778533,10.588569510014553,0.5499703716489694,5.499703716489694E-4,23.95752951389401,443.1436909283432,621.9059623891964,0.007845906923006218,6.6767786803217835,0.18245323122647608,1.55540230640485,6245.502190637541,6.372843463748312,
1.1259999999999868,1174.7816818734952,10.599724495441768,0.5505497676475115,5.505497676475115E-4,23.969893609367706,443.38172241674414,622.2400147629598,0.007849956069318135,6.684628636391102,0.18264544445542596,1.55540230640485,6245.8502433418325,6.36762575922547,
1.1269999999999867,1176.0192802565882,10.61089099735374,0.5511297618246979,5.511297618246979E-4,23.98226382524509,443.6198767467791,622.5742395321477,0.007854007220015254,6.692482643611117,0.18283785612665396,1.55540230640485,6246.198662713324,6.362402557945712,
1.1279999999999866,1177.2581563179695,10.622069027397329,0.5517103547854854,5.517103547854853E-4,23.99464016442689,443.858153979255,622.9086367820959,0.007858060376047542,6.700340703987164,0.18303046644084897,1.55540230640485,6246.54744913056,6.35717385423421,
1.1289999999999865,1178.4983113497572,10.633258597230954,0.5522915471354302,5.522915471354302E-4,24.007022629815143,444.09655417500795,623.2432065981818,0.007862115538365393,6.70820281952553,0.18322327559889895,1.55540230640485,6246.8966029724725,6.351939642410398,
1.1299999999999863,1179.7397466453458,10.644459718524544,0.5528733394806885,5.528733394806885E-4,24.01941122431323,444.33507739490256,623.5779490658224,0.007866172707919644,6.716068992233449,0.1834162838018901,1.55540230640485,6247.24612461837,6.346699916787957,
1.1309999999999862,1180.982463499412,10.655672402959613,0.5534557324280162,5.534557324280161E-4,24.031805950825817,444.5737236998323,623.9128642704754,0.007870231885661551,6.723939224119111,0.18360949125110848,1.55540230640485,6247.5960144479495,6.34145467167484,
1.1319999999999861,1182.226463207916,10.666896662229236,0.5540387265847703,5.540387265847703E-4,24.0442068122589,444.81249315071994,624.2479522976396,0.007874293072542804,6.731813517191654,0.18380289814803916,1.55540230640485,6247.946272841288,6.336203901373216,
1.132999999999986,1183.471747068098,10.678132508038049,0.5546223225589095,5.546223225589095E-4,24.056613811519806,445.0513858085165,624.5832132328533,0.007878356269515533,6.73969187346117,0.1839965046943664,1.55540230640485,6248.296900178853,6.330947600179493,
1.133999999999986,1184.7183163784841,10.68937995210229,0.5552065209589935,5.552065209589935E-4,24.069026951517145,445.2904017342022,624.9186471616958,0.00788242147753228,6.747574294938702,0.18419031109197453,1.55540230640485,6248.6478968414895,6.325685762384348,
1.1349999999999858,1185.9661724388875,10.700639006149801,0.5557913223941853,5.557913223941853E-4,24.081446235160858,445.52954098878627,625.2542541697875,0.007886488697546034,6.755460783636249,0.18438431754294787,1.55540230640485,6248.999263210432,6.32041838227263,
1.1359999999999857,1187.2153165504049,10.711909681920021,0.556376727474251,5.56376727474251E-4,24.093871665362222,445.76880363330656,625.5900343427884,0.007890557930510212,6.763351341566758,0.18457852424957036,1.55540230640485,6249.350999667301,6.315145454123461,
1.1369999999999856,1188.4657500154253,10.723191991164034,0.5569627368095602,5.569627368095602E-4,24.10630324503381,446.00818972883,625.9259877663997,0.00789462917737866,6.771245970744137,0.18477293141432652,1.55540230640485,6249.703106594099,6.309866972210143,
1.1379999999999855,1189.7174741376243,10.734485945644536,0.5575493510110868,5.575493510110868E-4,24.118740977089516,446.2476993364525,626.262114526363,0.007898702439105659,6.779144673183243,0.18496753923990145,1.55540230640485,6250.055584373219,6.304582930800207,
1.1389999999999854,1190.970490221969,10.745791557135881,0.5581365706904098,5.581365706904098E-4,24.131184864444563,446.4873325172989,626.5984147084606,0.007902777716645918,6.787047450899888,0.1851623479291806,1.55540230640485,6250.408433387438,6.299293324155375,
1.1399999999999852,1192.2247995747186,10.757108837424079,0.5587243964597136,5.587243964597136E-4,24.143634910015496,446.72708933252295,626.9348883985157,0.007906855010954584,6.794954305910843,0.18535735768525055,1.55540230640485,6250.76165401992,6.293998146531587,
1.1409999999999851,1193.4804035034247,10.768437798306795,0.5593128289317884,5.593128289317884E-4,24.15609111672016,446.9669698433072,627.2715356823915,0.007910934322987232,6.80286524023383,0.18555256871139858,1.55540230640485,6251.115246654217,6.2886973921789435,
1.141999999999985,1194.7373033169345,10.779778451593394,0.559901868720031,5.59901868720031E-4,24.168553487477734,447.20697411086365,627.6083566459924,0.007915015653699868,6.81078025588753,0.18574798121111372,1.55540230640485,6251.46921167427,6.283391055341769,
1.142999999999985,1195.9955003253904,10.791130809104924,0.5604915164384464,5.604915164384465E-4,24.181022025208737,447.4471021964329,627.9453513752636,0.007919099004048937,6.818699354891579,0.1859435953880861,1.55540230640485,6251.823549464407,6.278079130258529,
1.1439999999999848,1197.2549958402315,10.802494882674123,0.5610817727016462,5.610817727016462E-4,24.193496732834976,447.6873541612847,628.2825199561906,0.007923184374991314,6.82662253926657,0.18613941144620755,1.55540230640485,6252.178260409345,6.272761611161892,
1.1449999999999847,1198.5157911741953,10.81387068414546,0.5616726381248509,5.61672638124851E-4,24.205977613279604,447.9277300667179,628.6198624748,0.007927271767484305,6.834549811034054,0.18633542958957178,1.55540230640485,6252.533344894188,6.267438492278698,
1.1459999999999846,1199.7778876413176,10.825258225375107,0.5622641133238904,5.622641133238903E-4,24.21846466946709,448.1682299740602,628.9573790171587,0.007931361182485655,6.84248117221654,0.1865316500224743,1.55540230640485,6252.888803304432,6.2621097678299265,
1.1469999999999845,1201.041286556938,10.836657518231002,0.5628561989152033,5.628561989152034E-4,24.230957904323223,448.4088539446686,629.295069669375,0.007935452620953532,6.850416624837493,0.18672807294941346,1.55540230640485,6253.244636025962,6.256775432030759,
1.1479999999999844,1202.3059892376948,10.848068574592801,0.5634488955158393,5.634488955158394E-4,24.243457320775125,448.6496020399289,629.6329345175974,0.007939546083846552,6.85835617092134,0.18692469857508917,1.55540230640485,6253.600843445051,6.251435479090461,
1.1489999999999843,1203.5719970015318,10.859491406351943,0.5640422037434585,5.640422037434585E-4,24.25596292175124,448.8904743212563,629.9709736480157,0.007943641572123754,6.866299812493463,0.18712152710440472,1.55540230640485,6253.957425948366,6.246089903212515,
1.1499999999999841,1204.8393111676958,10.870926025411618,0.5646361242163321,5.646361242163322E-4,24.268474710181344,449.1314708500948,630.3091871468604,0.007947739086744616,6.874247551580208,0.18731855874246578,1.55540230640485,6254.314383922962,6.240738698594495,
1.150999999999984,1206.107933056739,10.882372443686801,0.5652306575533438,5.652306575533438E-4,24.280992688996527,449.3725916879176,630.6475751004023,0.00795183862866905,6.882199390208877,0.1875157936945811,1.55540230640485,6254.671717756288,6.235381859428135,
1.151999999999984,1207.3778639905224,10.893830673104267,0.5658258043739889,5.658258043739889E-4,24.29351686112919,449.613836896227,630.9861375949538,0.007955940198857396,6.890155330407734,0.18771323216626254,1.55540230640485,6255.02942783618,6.230019379899277,
1.1529999999999838,1208.6491052922147,10.905300725602595,0.566421565298377,5.66421565298377E-4,24.3060472295131,449.8552065365546,631.3248747168678,0.00796004379827044,6.898115374206005,0.18791087436322576,1.55540230640485,6255.387514550871,6.224651254187918,
1.1539999999999837,1209.9216582862941,10.916782613132183,0.567017940947231,5.67017940947231E-4,24.31858379708335,450.0967006704611,631.6637865525387,0.007964149427869393,6.906079523633874,0.18810872049138988,1.55540230640485,6255.745978288984,6.219277476468143,
1.1549999999999836,1211.1955242985475,10.928276347655233,0.567614931941888,5.67614931941888E-4,24.331126566776323,450.3383193595359,632.0028731884005,0.007968257088615913,6.914047780722489,0.1883067707568772,1.55540230640485,6256.104819439534,6.213898040908161,
1.1559999999999835,1212.470704656078,10.939781941145815,0.5682125389042998,5.682125389042998E-4,24.343675541529755,450.5800626653984,632.3421347109297,0.007972366781472076,6.922020147503962,0.1885050253660149,1.55540230640485,6256.464038391933,6.208512941670275,
1.1569999999999834,1213.7472006872995,10.951299405589843,0.5688107624570342,5.688107624570342E-4,24.356230724282714,450.82193064969647,632.6815712066427,0.007976478507400409,6.929996626011362,0.18870348452533398,1.55540230640485,6256.823635535983,6.203122172910891,
1.1579999999999833,1215.0250137219398,10.962828752985073,0.5694096032232752,5.694096032232751E-4,24.3687921179756,451.06392337410756,633.0211827620973,0.007980592267363867,6.937977218278726,0.1889021484415696,1.55540230640485,6257.18361126188,6.197725728780535,
1.1589999999999832,1216.3041450910446,10.974369995341155,0.5700090618268229,5.700090618268229E-4,24.381359725550137,451.3060409003382,633.3609694638922,0.007984708062325842,6.9459619263410515,0.18910101732166174,1.55540230640485,6257.543965960215,6.1923236034238,
1.159999999999983,1217.5845961269754,10.985923144679616,0.5706091388920951,5.706091388920951E-4,24.393933549949377,451.54828329012406,633.700931398667,0.007988825893250163,6.953950752234301,0.18930009137275533,1.55540230640485,6257.904700021975,6.186915790979352,
1.160999999999983,1218.8663681634132,10.997488213033877,0.5712098350441274,5.712098350441274E-4,24.406513594117698,451.7906506052303,634.0410686531027,0.007992945761101093,6.961943697995403,0.18949937080219986,1.55540230640485,6258.265813838541,6.181502285579931,
1.1619999999999828,1220.1494625353582,11.009065212449272,0.5718111509085743,5.718111509085742E-4,24.419099861000845,452.03314290745124,634.3813813139209,0.007997067666843336,6.969940765662246,0.18969885581755044,1.55540230640485,6258.62730780169,6.17608308135239,
1.1629999999999827,1221.4338805791315,11.020654154983054,0.5724130871117089,5.724130871117089E-4,24.431692353545856,452.27576025861026,634.7218694678846,0.008001191611442027,6.977941957273688,0.18989854662656735,1.55540230640485,6258.989182303594,6.170658172417598,
1.1639999999999826,1222.7196236323766,11.032255052704402,0.5730156442804242,5.730156442804242E-4,24.44429107470113,452.5185027205602,635.0625332017978,0.008005317595862742,6.985947274869551,0.19009844343721644,1.55540230640485,6259.351437736823,6.1652275528905065,
1.1649999999999825,1224.0066930340608,11.043867917694438,0.5736188230422334,5.736188230422335E-4,24.456896027416374,452.7613703551832,635.4033726025054,0.008009445621071492,6.993956720490622,0.19029854645766925,1.55540230640485,6259.714074494342,6.159791216880106,
1.1659999999999824,1225.2950901244767,11.055492762046248,0.574222624025271,5.74222624025271E-4,24.469507214642654,453.00436322439083,635.7443877568941,0.008013575688034725,7.001970296178657,0.19049885589630366,1.55540230640485,6260.077092969513,6.154349158489458,
1.1669999999999823,1226.5848162452405,11.067129597864858,0.5748270478582926,5.748270478582926E-4,24.48212463933237,453.2474813901235,636.0855787518906,0.008017707797719327,7.0099880039763764,0.1906993719617032,1.55540230640485,6260.440493556096,6.14890137181564,
1.1679999999999822,1227.875872739299,11.078778437267298,0.5754320951706758,5.754320951706759E-4,24.49474830443923,453.4907249143514,636.4269456744637,0.008021841951092621,7.018009845927469,0.19090009486265824,1.55540230640485,6260.804276648251,6.143447850949779,
1.168999999999982,1229.1682609509269,11.090439292382577,0.5760377665924215,5.760377665924214E-4,24.507378212918308,453.734093859074,636.7684886116232,0.008025978149122369,7.026035824076591,0.19110102480816543,1.55540230640485,6261.168442640534,6.137988589977017,
1.169999999999982,1230.4619822257282,11.102112175351706,0.5766440627541531,5.766440627541532E-4,24.52001436772601,453.97758828632004,637.11020765042,0.008030116392776766,7.034065940469368,0.19130216200742847,1.55540230640485,6261.532991927898,6.132523582976546,
1.1709999999999818,1231.757037910638,11.1137970983277,0.5772509842871193,5.772509842871193E-4,24.532656771820086,454.22120825814767,637.452102877946,0.008034256683024458,7.042100197152393,0.19150350666985771,1.55540230640485,6261.8979249057,6.1270528240215505,
1.1719999999999817,1233.053429353925,11.125494073475606,0.5778585318231916,5.778585318231916E-4,24.545305428159597,454.4649538366444,637.7941743813348,0.008038399020834511,7.050138596173227,0.19170505900507093,1.55540230640485,6262.263241969693,6.121576307179222,
1.1729999999999816,1234.3511579051913,11.137203112972506,0.5784667059948676,5.784667059948676E-4,24.557960339704962,454.70882508392714,638.136422247761,0.008042543407176443,7.0581811395804035,0.19190681922289324,1.55540230640485,6262.62894351603,6.116094026510799,
1.1739999999999815,1235.6502249153737,11.148924229007521,0.5790755074352708,5.790755074352709E-4,24.570621509417943,454.9528220621422,638.4788465644403,0.008046689843020207,7.066227829423424,0.19210878753335736,1.55540230640485,6262.995029941263,6.11060597607146,
1.1749999999999814,1236.9506317367454,11.160657433781836,0.5796849367781506,5.796849367781506E-4,24.583288940261642,455.1969448334654,638.8214474186301,0.008050838329336193,7.07427866775276,0.19231096414670357,1.55540230640485,6263.361501642349,6.10511214991043,
1.1759999999999813,1238.2523797229196,11.172402739508716,0.5802949946578831,5.802949946578832E-4,24.595962635200472,455.44119346010194,639.1642248976289,0.00805498886709523,7.082333656619856,0.19251334927338049,1.55540230640485,6263.7283590166435,6.099612542070886,
1.1769999999999812,1239.5554702288443,11.184160158413476,0.5809056817094731,5.809056817094731E-4,24.60864259720024,455.6855680042864,639.5071790887763,0.008059141457268593,7.090392798077124,0.19271594312404444,1.55540230640485,6264.095602461902,6.094107146590022,
1.177999999999981,1240.859904610811,11.195929702733558,0.5815169985685519,5.815169985685519E-4,24.621328829228037,455.9300685282828,639.8503100794536,0.008063296100827982,7.098456094177952,0.1929187459095606,1.55540230640485,6264.463232376283,6.088595957498965,
